id,nome,genero,data_estreia,sobre
1,Beyoncé R. Knowles,Pop/R&B,2003-06-24,"Artista americana premiada, ex-integrante do Destiny's Child, conhecida por seu alcance vocal e presença de palco."
2,The Weeknd,R&B/Synthpop,2011-03-21,Cantor canadense conhecido por sua voz única e hits como 'Blinding Lights' e 'Starboy'.
3,Adele Laurie Blue Adkins,Pop/Soul,2008-01-28,Cantora britânica famosa por suas baladas emocionantes e álbuns multiplatinados como '21' e '30'.
4,Coldplay,Rock Alternativo,2000-07-10,"Banda britânica liderada por Chris Martin, conhecida por sucessos como 'Yellow', 'Viva La Vida' e 'Fix You'."
5,Anitta,Pop/Funk Brasileiro,2013-04-16,"Cantora e empresária brasileira que ganhou fama internacional misturando funk, pop e reggaeton."
6,Kendrick Lamar,Hip-Hop,2011-10-22,Rapper e letrista norte-americano aclamado por suas letras políticas e poéticas; vencedor do Prêmio Pulitzer de Música.
7,Taylor Swift,Country/Pop,2006-10-24,Cantora e compositora americana que transitou do country ao pop com enorme sucesso comercial e crítica.
8,BTS,K-Pop,2013-06-13,"Grupo sul-coreano de enorme sucesso global, conhecido por coreografias elaboradas e engajamento com fãs."
9,Bad Bunny,Reggaeton/Trap Latino,2016-12-23,"Cantor porto-riquenho de destaque no cenário urbano latino, conhecido por sua versatilidade e ativismo."
10,Arctic Monkeys,Indie Rock,2006-01-23,"Banda britânica formada em Sheffield, conhecida por letras inteligentes e o vocal marcante de Alex Turner."
